"title","type","text"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. How? turn thy back and run?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Fear me not."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. No, marry. I fear thee!"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Let us take the law of our sides; let them begin."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. I will frown as I pass by, and let them take it as they list."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Nay, as they dare. I will bite my thumb at them; which is"
"The Tragedy of Romeo and Juliet","Tragedy","    disgrace to them, if they bear it."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Abr. Do you bite your thumb at us, sir?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. I do bite my thumb, sir."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Abr. Do you bite your thumb at us, sir?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. [aside to Gregory] Is the law of our side if I say ay?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. [aside to Sampson] No."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. No, sir, I do not bite my thumb at you, sir; but I bite my"
"The Tragedy of Romeo and Juliet","Tragedy","    thumb, sir."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. Do you quarrel, sir?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Abr. Quarrel, sir? No, sir."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. But if you do, sir, am for you. I serve as good a man as"
"The Tragedy of Romeo and Juliet","Tragedy","    you."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Abr. No better."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Well, sir."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","                        Enter Benvolio."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. [aside to Sampson] Say 'better.' Here comes one of my"
"The Tragedy of Romeo and Juliet","Tragedy","    master's kinsmen."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Yes, better, sir."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Abr. You lie."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Draw, if you be men. Gregory, remember thy swashing blow."
"The Tragedy of Romeo and Juliet","Tragedy","                                                     They fight."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. Part, fools! [Beats down their swords.]"
"The Tragedy of Romeo and Juliet","Tragedy","    Put up your swords. You know not what you do."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","                          Enter Tybalt."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Tyb. What, art thou drawn among these heartless hinds?"
"The Tragedy of Romeo and Juliet","Tragedy","    Turn thee Benvolio! look upon thy death."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. I do but keep the peace. Put up thy sword,"
"The Tragedy of Romeo and Juliet","Tragedy","    Or manage it to part these men with me."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Tyb. What, drawn, and talk of peace? I hate the word"
"The Tragedy of Romeo and Juliet","Tragedy","    As I hate hell, all Montagues, and thee."
"The Tragedy of Romeo and Juliet","Tragedy","    Have at thee, coward!                            They fight."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","     Enter an officer, and three or four Citizens with clubs or"
"The Tragedy of Romeo and Juliet","Tragedy","                          partisans."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Officer. Clubs, bills, and partisans! Strike! beat them down!"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Citizens. Down with the Capulets! Down with the Montagues!"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","           Enter Old Capulet in his gown, and his Wife."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Cap. What noise is this? Give me my long sword, ho!"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Wife. A crutch, a crutch! Why call you for a sword?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Cap. My sword, I say! Old Montague is come"
"The Tragedy of Romeo and Juliet","Tragedy","    And flourishes his blade in spite of me."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","                 Enter Old Montague and his Wife."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Mon. Thou villain Capulet!- Hold me not, let me go."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  M. Wife. Thou shalt not stir one foot to seek a foe."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","                Enter Prince Escalus, with his Train."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Prince. Rebellious subjects, enemies to peace,"
"The Tragedy of Romeo and Juliet","Tragedy","    Profaners of this neighbour-stained steel-"
"The Tragedy of Romeo and Juliet","Tragedy","    Will they not hear? What, ho! you men, you beasts,"
"The Tragedy of Romeo and Juliet","Tragedy","    That quench the fire of your pernicious rage"
"The Tragedy of Romeo and Juliet","Tragedy","    With purple fountains issuing from your veins!"
"The Tragedy of Romeo and Juliet","Tragedy","    On pain of torture, from those bloody hands"
"The Tragedy of Romeo and Juliet","Tragedy","    Throw your mistempered weapons to the ground"
"The Tragedy of Romeo and Juliet","Tragedy","    And hear the sentence of your moved prince."
"The Tragedy of Romeo and Juliet","Tragedy","    Three civil brawls, bred of an airy word"
"The Tragedy of Romeo and Juliet","Tragedy","    By thee, old Capulet, and Montague,"
"The Tragedy of Romeo and Juliet","Tragedy","    Have thrice disturb'd the quiet of our streets"
"The Tragedy of Romeo and Juliet","Tragedy","    And made Verona's ancient citizens"
"The Tragedy of Romeo and Juliet","Tragedy","    Cast by their grave beseeming ornaments"
"The Tragedy of Romeo and Juliet","Tragedy","    To wield old partisans, in hands as old,"
"The Tragedy of Romeo and Juliet","Tragedy","    Cank'red with peace, to part your cank'red hate."
"The Tragedy of Romeo and Juliet","Tragedy","    If ever you disturb our streets again,"
"The Tragedy of Romeo and Juliet","Tragedy","    Your lives shall pay the forfeit of the peace."
"The Tragedy of Romeo and Juliet","Tragedy","    For this time all the rest depart away."
"The Tragedy of Romeo and Juliet","Tragedy","    You, Capulet, shall go along with me;"
"The Tragedy of Romeo and Juliet","Tragedy","    And, Montague, come you this afternoon,"
"The Tragedy of Romeo and Juliet","Tragedy","    To know our farther pleasure in this case,"
"The Tragedy of Romeo and Juliet","Tragedy","    To old Freetown, our common judgment place."
"The Tragedy of Romeo and Juliet","Tragedy","    Once more, on pain of death, all men depart."
"The Tragedy of Romeo and Juliet","Tragedy","              Exeunt [all but Montague, his Wife, and Benvolio]."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Mon. Who set this ancient quarrel new abroach?"
"The Tragedy of Romeo and Juliet","Tragedy","    Speak, nephew, were you by when it began?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. Here were the servants of your adversary"
"The Tragedy of Romeo and Juliet","Tragedy","    And yours, close fighting ere I did approach."
"The Tragedy of Romeo and Juliet","Tragedy","    I drew to part them. In the instant came"
"The Tragedy of Romeo and Juliet","Tragedy","    The fiery Tybalt, with his sword prepar'd;"
"The Tragedy of Romeo and Juliet","Tragedy","    Which, as he breath'd defiance to my ears,"
"The Tragedy of Romeo and Juliet","Tragedy","    He swung about his head and cut the winds,"
"The Tragedy of Romeo and Juliet","Tragedy","    Who, nothing hurt withal, hiss'd him in scorn."
"The Tragedy of Romeo and Juliet","Tragedy","    While we were interchanging thrusts and blows,"
"The Tragedy of Romeo and Juliet","Tragedy","    Came more and more, and fought on part and part,"
"The Tragedy of Romeo and Juliet","Tragedy","    Till the Prince came, who parted either part."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  M. Wife. O, where is Romeo? Saw you him to-day?"
"The Tragedy of Romeo and Juliet","Tragedy","    Right glad I am he was not at this fray."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. Madam, an hour before the worshipp'd sun"
"The Tragedy of Romeo and Juliet","Tragedy","    Peer'd forth the golden window of the East,"
"The Tragedy of Romeo and Juliet","Tragedy","    A troubled mind drave me to walk abroad;"
"The Tragedy of Romeo and Juliet","Tragedy","    Where, underneath the grove of sycamore"
"The Tragedy of Romeo and Juliet","Tragedy","    That westward rooteth from the city's side,"
"The Tragedy of Romeo and Juliet","Tragedy","    So early walking did I see your son."
"The Tragedy of Romeo and Juliet","Tragedy","    Towards him I made; but he was ware of me"
"The Tragedy of Romeo and Juliet","Tragedy","    And stole into the covert of the wood."
"The Tragedy of Romeo and Juliet","Tragedy","    I- measuring his affections by my own,"
"The Tragedy of Romeo and Juliet","Tragedy","    Which then most sought where most might not be found,"
"The Tragedy of Romeo and Juliet","Tragedy","    Being one too many by my weary self-"
"The Tragedy of Romeo and Juliet","Tragedy","    Pursu'd my humour, not Pursuing his,"
"The Tragedy of Romeo and Juliet","Tragedy","    And gladly shunn'd who gladly fled from me."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Mon. Many a morning hath he there been seen,"
"The Tragedy of Romeo and Juliet","Tragedy","    With tears augmenting the fresh morning's dew,"
"The Tragedy of Romeo and Juliet","Tragedy","    Adding to clouds more clouds with his deep sighs;"
"The Tragedy of Romeo and Juliet","Tragedy","    But all so soon as the all-cheering sun"
"The Tragedy of Romeo and Juliet","Tragedy","    Should in the furthest East bean to draw"
"The Tragedy of Romeo and Juliet","Tragedy","    The shady curtains from Aurora's bed,"
"The Tragedy of Romeo and Juliet","Tragedy","    Away from light steals home my heavy son"
"The Tragedy of Romeo and Juliet","Tragedy","    And private in his chamber pens himself,"
"The Tragedy of Romeo and Juliet","Tragedy","    Shuts up his windows, locks fair daylight"
"The Tragedy of Romeo and Juliet","Tragedy","    And makes himself an artificial night."
"The Tragedy of Romeo and Juliet","Tragedy","    Black and portentous must this humour prove"
"The Tragedy of Romeo and Juliet","Tragedy","    Unless good counsel may the cause remove."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. My noble uncle, do you know the cause?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Mon. I neither know it nor can learn of him"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. Have you importun'd him by any means?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Mon. Both by myself and many other friend;"
"The Tragedy of Romeo and Juliet","Tragedy","    But he, his own affections' counsellor,"
"The Tragedy of Romeo and Juliet","Tragedy","    Is to himself- I will not say how true-"
"The Tragedy of Romeo and Juliet","Tragedy","    But to himself so secret and so close,"
"The Tragedy of Romeo and Juliet","Tragedy","    So far from sounding and discovery,"
"The Tragedy of Romeo and Juliet","Tragedy","    As is the bud bit with an envious worm"
"The Tragedy of Romeo and Juliet","Tragedy","    Ere he can spread his sweet leaves to the air"
"The Tragedy of Romeo and Juliet","Tragedy","    Or dedicate his beauty to the sun."
"The Tragedy of Romeo and Juliet","Tragedy","    Could we but learn from whence his sorrows grow,"
"The Tragedy of Romeo and Juliet","Tragedy","    We would as willingly give cure as know."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","                       Enter Romeo."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. See, where he comes. So please you step aside,"
"The Tragedy of Romeo and Juliet","Tragedy","    I'll know his grievance, or be much denied."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Mon. I would thou wert so happy by thy stay"
"The Tragedy of Romeo and Juliet","Tragedy","    To hear true shrift. Come, madam, let's away,"
"The Tragedy of Romeo and Juliet","Tragedy","                                     Exeunt [Montague and Wife]."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. Good morrow, cousin."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Rom. Is the day so young?"
"The Tragedy of Romeo and Juliet","Tragedy",""
